tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt33175825,movie,Attack on Titan the Movie: The Last Attack,Shingeki no Kyojin: The Last Attack,0,2024,,145,"Action,Adventure,Animation",9.2,16055
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,,152,"Action,Crime,Drama",9.0,3016606
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,,201,"Adventure,Drama,Fantasy",9.0,2075407
tt16747572,movie,The Silence of Swastika,The Silence of Swastika,0,2021,,56,"Documentary,History",9.0,10621
tt5354160,movie,Mirror Game,Aynabaji,0,2016,,147,"Crime,Mystery,Thriller",8.9,30450
tt2077886,movie,The Phantom of the Opera at the Royal Albert Hall,The Phantom of the Opera at the Royal Albert Hall,0,2011,,137,"Drama,Musical,Romance",8.8,10405
tt10534500,movie,#Home,#Home,0,2021,,158,"Drama,Family",8.8,16628
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,,179,"Adventure,Drama,Fantasy",8.8,1871220
tt1375666,movie,Inception,Inception,0,2010,,148,"Action,Adventure,Sci-Fi",8.8,2679589
tt33428606,movie,Solo Leveling: ReAwakening,Solo Leveling: ReAwakening,0,2024,,121,"Action,Adventure,Animation",8.8,12641
tt15097216,movie,Jai Bhim,Jai Bhim,0,2021,,164,"Crime,Drama",8.7,225403
tt0816692,movie,Interstellar,Interstellar,0,2014,,169,"Adventure,Drama,Sci-Fi",8.7,2340267
tt10189514,movie,Soorarai Pottru,Soorarai Pottru,0,2020,,153,Drama,8.7,127575
tt8176054,movie,Pariyerum Perumal,Pariyerum Perumal,0,2018,,154,Drama,8.7,19481
tt8737152,movie,Toma,Toma,0,2021,,140,"Biography,Drama,Music",8.7,12970
tt7466810,movie,777 Charlie,777 Charlie,0,2022,,164,"Adventure,Comedy,Drama",8.7,43093
tt6019206,movie,Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,0,2006,,247,"Action,Crime,Thriller",8.7,18699
tt14888874,movie,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,Kimetsu no Yaiba: Natagumo Yama-hen,0,2020,,138,"Action,Animation,Fantasy",8.7,17345
tt0358456,movie,Earthlings,Earthlings,0,2005,,95,Documentary,8.6,20168
tt9263550,movie,Rocketry: The Nambi Effect,Rocketry: The Nambi Effect,0,2022,,157,"Biography,Drama",8.6,60520
tt0317248,movie,City of God,Cidade de Deus,0,2002,,130,"Crime,Drama",8.6,836515
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,,124,"Adventure,Animation,Family",8.6,908678
tt0367495,movie,Anbe Sivam,Anbe Sivam,0,2003,,160,"Adventure,Comedy,Drama",8.6,26808
tt11580854,movie,Sarpatta Parambarai,Sarpatta parambarai,0,2021,,173,"Action,Drama,Sport",8.5,26723
tt0253474,movie,The Pianist,The Pianist,0,2002,,150,"Biography,Drama,Music",8.5,967049
tt9362722,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,0,2023,,140,"Action,Adventure,Animation",8.5,453280
tt9617456,movie,For Sama,For Sama,0,2019,,100,"Biography,Documentary,War",8.5,13392
tt15239678,movie,Dune: Part Two,Dune: Part Two,0,2024,,166,"Action,Adventure,Drama",8.5,627587
tt20850406,movie,Sita Ramam,Sita Ramam,0,2022,,163,"Action,Drama,Mystery",8.5,75338
tt4139928,movie,The Legend of Maula Jatt,The Legend of Maula Jatt,0,2022,,153,"Action,Drama,Fantasy",8.5,11295
tt10811166,movie,The Kashmir Files,The Kashmir Files,0,2022,,170,Drama,8.5,576244
tt24082438,movie,20 Days in Mariupol,20 Days in Mariupol,0,2023,,95,"Documentary,War",8.5,25532
tt0346336,movie,The Best of Youth,La meglio gioventù,0,2003,,374,"Drama,Romance",8.5,25312
tt1675434,movie,The Intouchables,Intouchables,0,2011,,112,"Comedy,Drama",8.5,976989
tt6751668,movie,Parasite,Gisaengchung,0,2019,,132,"Drama,Thriller",8.5,1059996
tt7019842,movie,96,96,0,2018,,158,"Drama,Romance",8.5,41240
tt16492678,movie,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,Kimetsu no Yaiba: Tsuzumi Yashiki-hen,0,2021,,87,"Action,Animation,Fantasy",8.5,32099
tt1014762,movie,Home,Home,0,2009,,118,"Documentary,Family",8.5,23282
tt8413338,movie,Kumbalangi Nights,Kumbalangi Nights,0,2019,,135,"Comedy,Drama,Romance",8.5,19902
tt0407887,movie,The Departed,The Departed,0,2006,,151,"Crime,Drama,Thriller",8.5,1485971
