Title,Poster URL,Detected Language,Line 1,Line 2,Line 3,Error
Dracula Dead and Loving It,https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@.jpg,en,DRACULA,DEADand LOVING IT,Ittee Brooks,
Balto,https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@.jpg,it,His story,His adventure is one,BASED,
Nixon,https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@.jpg,ca,NIXON,Triumphont,,
Cutthroat Island,https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@.jpg,en,Seena Davis,MMatfhew Modine,,
Casino,https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@.jpg,pt,CASINO,PESCI,Robert,
Sense and Sensibility,https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@.jpg,en,Lose your heart,THOMPSON,RICKMAN,
Four Rooms,https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@.jpg,nl,film by,"bellhop,",COMPLIMENTS OF THE HOUSE.,
Ace Ventura When Nature Calls,https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@.jpg,en,MNTURN,YZALLS,MATUREL,
Money Train,https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@.jpg,en,GET ON,THE FAST,TRACK,
Get Shorty,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@.jpg,en,BEHE,REHE,Attitude plays a part,
Copycat,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@.jpg,en,Cop,CAL,"DERMOT MULRONEY AND HARRY CONNICK, JR.",
Powder,https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@.jpg,pl,POWDER,human being.,An extraordinary,
Leaving Las Vegas,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@.jpg,et,Nicolas Cage,Elisabeth Shue,LEAVING,
Now and Then,https://m.media-amazon.com/images/M/MV5BZjg1Zjg4NjItNDk1My00ZTEwLWJkZjMtOGZiNmE2OTQ1NTI4XkEyXkFqcGc@.jpg,en,NOW and,moving pictures,MELANIE,
Persuasion.jpg,https://m.media-amazon.com/images/M/MV5BMjNiOTQ0ZTktZTcxYy00MGYwLWJjN2UtNWRlOGE4ZWUzNjQyXkEyXkFqcGc@.jpg,id,PERSUASION,NETFLIX,DAKOTA,
The City of Lost Children,https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@.jpg,en,DELICATESSEN',"VISUALS OF 1995, 1996 AND MAYBE",FROM THE,
Dangerous Minds,https://m.media-amazon.com/images/M/MV5BODc5ZDI2ZDYtYjZiMy00MzZjLWEwNWUtNTljNDEwYWQ3YjQ5XkEyXkFqcGc@.jpg,af,l,,,
Twelve Monkeys,https://m.media-amazon.com/images/M/MV5BMDQwNDY0M2MtOGFmNy00ZjI5LTkzN2ItMzg5M2IwZTZjY2MyXkEyXkFqcGc@.jpg,nl,12 MONKEYS,PITT,R,
Wings of Courage,https://m.media-amazon.com/images/M/MV5BNWUxZTNhYjAtYjU3MS00Yzg4LWFlMzYtMTM1ZjQxMGJlMTUxXkEyXkFqcGc@.jpg,en,WINGJ,OFCOURAGE,,
Babe,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@.jpg,so,BABE,A LITTLE PIG,X,
Carrington,https://m.media-amazon.com/images/M/MV5BYWQyMDA5MTctODk1ZS00MjkxLTk1NjktYzllODVkNDYxMGE4XkEyXkFqcGc@.jpg,en,JONNTHAN,PpYCE,PolGram,
Dead Man Walking,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@.jpg,so,WALKING,SARANDON  PENN,AFLM BY YIM ROBBIMS,
Across the Sea of Time,https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@.jpg,en,Original Motion Picture Soundtrack,,,
It Takes Two,https://m.media-amazon.com/images/M/MV5BMTQ3YTE5NmItNTRjNC00NjdlLTgwNmYtNDRkNmJiZjZiNGE3XkEyXkFqcGc@.jpg,en,TWO,IT TAKES,STEVE GUTTENBERG,
Richard III,https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@.jpg,de,POWER CONQUERS ALL,NIGEL HAWTHORNE   KRISTIN SCOTT THOMAS,MAGGIE SMITH,
Restoration,https://m.media-amazon.com/images/M/MV5BOWZjM2NjM2EtMDkyNi00ODFiLWIwMTktM2JmMzUxODQ3YmRlXkEyXkFqcGc@.jpg,en,THO,RESTORATION,Coming,
Mortal Kombat,https://m.media-amazon.com/images/M/MV5BZGFkMzM0YmMtNTZkZi00YjBiLWE0YzgtMTc5NTIwZmQzZDc2XkEyXkFqcGc@.jpg,id,UNCAGED,FURY,REBEL WITHOUT A CAGE,
To Die For,https://m.media-amazon.com/images/M/MV5BZWJlODViYTUtMzY3MS00ZDRlLTkzODQtMDdiOTBiN2E0MDA5XkEyXkFqcGc@.jpg,de,DIE,FOR,TO,
Se7en,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@.jpg,es,PITT,FREEMAN,MORGAN,
Pocahontas,https://m.media-amazon.com/images/M/MV5BY2ZlNTUxM2MtYmJhYS00Y2E5LTlmYTItZDhlNWJmMmRiYTYzXkEyXkFqcGc@.jpg,pt,Pocahontas,"(@alr""",Legend,
When Night Is Falling,https://m.media-amazon.com/images/M/MV5BZjMxMDYyNjItYjAwYi00NmExLWFiOTEtZWYzOGUzNmY3NmI2XkEyXkFqcGc@.jpg,en,FALLING,NIGHT,IS,
Mighty Aphrodite,https://m.media-amazon.com/images/M/MV5BNGY4MWQ2Y2QtMzliZC00NTc3LWJmMGYtMzUxYWI0YTFhYTY4XkEyXkFqcGc@.jpg,en,CLAIRE BLOOM,FMURRAY ABRAHAM,WOODY ALLEN,
Georgia,https://m.media-amazon.com/images/M/MV5BM2U2NjA5NmUtNTUzYi00NDdjLWEwZjgtZGFmYjAzNzk3ZjFkXkEyXkFqcGc@.jpg,ro,GINNY &,GEORGIA,NETFLIX,
