image_path,imdb_score,score_range,poster_title,ocr_title
poster_images/poster_images/Superman.jpg,0.0,0–1,Superman,Superman
poster_images/poster_images/The_Conjuring_Last_Rites.jpg,0.0,0–1,The Conjuring Last Rites,
poster_images/poster_images/Ligaw.jpg,0.0,0–1,Ligaw,Ligaw
poster_images/poster_images/El_Cas_Àngelus_La_fascinació_de_Dalí.jpg,0.0,0–1,El Cas Àngelus La fascinació de Dalí,El Cas Àngelus La fascinació de Dalí
poster_images/poster_images/Jurassic_World_Rebirth.jpg,0.0,0–1,Jurassic World Rebirth,
poster_images/poster_images/Betray_Thirst.jpg,0.0,0–1,Betray Thirst,
poster_images/poster_images/From_the_World_of_John_Wick_Ballerina.jpg,0.0,0–1,From the World of John Wick Ballerina,From the World of John Wick Ballerina
poster_images/poster_images/F1_The_Movie.jpg,0.0,0–1,F1 The Movie,
poster_images/poster_images/Avengers_Doomsday.jpg,0.0,0–1,Avengers Doomsday,Avengers Doomsday
poster_images/poster_images/Fast_X_Part_2.jpg,0.0,0–1,Fast X Part 2,Fast X Part 2
poster_images/poster_images/The_Jowa_Collector.jpg,0.0,0–1,The Jowa Collector,The Jowa Collector
poster_images/poster_images/Nobody_2.jpg,0.0,0–1,Nobody 2,Nobody 2
poster_images/poster_images/The_Bad_Guys_2.jpg,0.0,0–1,The Bad Guys 2,The Bad Guys 2
poster_images/poster_images/The_Fantastic_Four_First_Steps.jpg,0.0,0–1,The Fantastic Four First Steps,
poster_images/poster_images/The_Old_Guard_2.jpg,0.0,0–1,The Old Guard 2,The Old Guard 2
poster_images/poster_images/Rapsa.jpg,0.0,0–1,Rapsa,
poster_images/poster_images/Girls_Will_Be_Girls.jpg,0.0,0–1,Girls Will Be Girls,Girls Will Be Girls
poster_images/poster_images/28_Years_Later.jpg,0.0,0–1,28 Years Later,
poster_images/poster_images/Materialists.jpg,0.0,0–1,Materialists,
poster_images/poster_images/Demon_Slayer_Kimetsu_no_Yaiba_Infinity_Castle.jpg,0.0,0–1,Demon Slayer Kimetsu no Yaiba Infinity Castle,
poster_images/poster_images/Rockbottom.jpg,0.0,0–1,Rockbottom,
poster_images/poster_images/Koya_Choken-bou_oboegaki.jpg,0.0,0–1,Koya Choken-bou oboegaki,
poster_images/poster_images/The_Phoenician_Scheme.jpg,0.0,0–1,The Phoenician Scheme,The Phoenician Scheme
poster_images/poster_images/Female_Workers_Romance_at_Work_3.jpg,0.0,0–1,Female Workers Romance at Work 3,
poster_images/poster_images/Kelas_Bintang_-_Staycation.jpg,0.0,0–1,Kelas Bintang - Staycation,Kelas Bintang - Staycation
poster_images/poster_images/Smurfs.jpg,0.0,0–1,Smurfs,Smurfs
poster_images/poster_images/Wicked_For_Good.jpg,0.0,0–1,Wicked For Good,
poster_images/poster_images/Taxali_Gate.jpg,0.0,0–1,Taxali Gate,Taxali Gate
poster_images/poster_images/M3GAN_20.jpg,0.0,0–1,M3GAN 20,
poster_images/poster_images/Elio.jpg,0.0,0–1,Elio,Elio
poster_images/poster_images/Now_You_See_Me_Now_You_Dont.jpg,0.0,0–1,Now You See Me Now You Dont,Now You See Me Now You Dont
poster_images/poster_images/Bring_Her_Back.jpg,0.0,0–1,Bring Her Back,Bring Her Back
poster_images/poster_images/Weapons.jpg,0.0,0–1,Weapons,
poster_images/poster_images/Kryptic.jpg,0.0,0–1,Kryptic,Kryptic
poster_images/poster_images/Avatar_Fire_and_Ash.jpg,0.0,0–1,Avatar Fire and Ash,Avatar Fire and Ash
poster_images/poster_images/Eddington.jpg,0.0,0–1,Eddington,Eddington
poster_images/poster_images/Avengers_Secret_Wars.jpg,0.0,0–1,Avengers Secret Wars,Avengers Secret Wars
poster_images/poster_images/The_Old_Woman_with_the_Knife.jpg,0.0,0–1,The Old Woman with the Knife,
poster_images/poster_images/The_Hunger_Games_Sunrise_on_the_Reaping.jpg,0.0,0–1,The Hunger Games Sunrise on the Reaping,The Hunger Games Sunrise on the Reaping
poster_images/poster_images/Whindersson_Nunes_Isso_Definitivamente_Não_É_Um_Culto.jpg,0.0,0–1,Whindersson Nunes Isso Definitivamente Não É Um Culto,Whindersson Nunes Isso Definitivamente Não É Um Culto
poster_images/poster_images/Ang_Pamumukadkad_Ni_Mirasol.jpg,0.0,0–1,Ang Pamumukadkad Ni Mirasol,Ang Pamumukadkad Ni Mirasol
poster_images/poster_images/Nephilim.jpg,0.0,0–1,Nephilim,
poster_images/poster_images/Syirik.jpg,0.0,0–1,Syirik,Syirik
poster_images/poster_images/Five_Nights_at_Freddys_2.jpg,0.0,0–1,Five Nights at Freddys 2,Five Nights at Freddys 2
poster_images/poster_images/Menantu_dan_Mertua.jpg,0.0,0–1,Menantu dan Mertua,
poster_images/poster_images/My_Future_You.jpg,0.0,0–1,My Future You,My Future You
poster_images/poster_images/Delicious_Tutor.jpg,0.0,0–1,Delicious Tutor,Delicious Tutor
poster_images/poster_images/Female_Wars_The_Man_Who_Moved_In.jpg,0.0,0–1,Female Wars The Man Who Moved In,
poster_images/poster_images/Die_My_Love.jpg,0.0,0–1,Die My Love,Die My Love
poster_images/poster_images/Zootopia_2.jpg,0.0,0–1,Zootopia 2,
poster_images/poster_images/El_Conjuro_Siniestro.jpg,0.0,0–1,El Conjuro Siniestro,El Conjuro Siniestro
poster_images/poster_images/Predator_Badlands.jpg,0.0,0–1,Predator Badlands,Predator Badlands
poster_images/poster_images/The_Long_Walk.jpg,0.0,0–1,The Long Walk,
poster_images/poster_images/Warlord.jpg,0.0,0–1,Warlord,Warlord
poster_images/poster_images/Shrek_5.jpg,0.0,0–1,Shrek 5,
poster_images/poster_images/TRON_Ares.jpg,0.0,0–1,TRON Ares,TRON Ares
poster_images/poster_images/Spider-Man_Brand_New_Day.jpg,0.0,0–1,Spider-Man Brand New Day,
poster_images/poster_images/Sonic_the_Hedgehog_4.jpg,0.0,0–1,Sonic the Hedgehog 4,Sonic the Hedgehog 4
poster_images/poster_images/Mobil_Goyang.jpg,0.0,0–1,Mobil Goyang,
poster_images/poster_images/F-Buddies.jpg,0.0,0–1,F-Buddies,F-Buddies
poster_images/poster_images/Asebamu_Akahadaka_Tsuma.jpg,0.0,0–1,Asebamu Akahadaka Tsuma,Asebamu Akahadaka Tsuma
poster_images/poster_images/Naturally_Naughty.jpg,0.0,0–1,Naturally Naughty,Naturally Naughty
poster_images/poster_images/STW.jpg,0.0,0–1,STW,STW
poster_images/poster_images/The_Naked_Gun.jpg,0.0,0–1,The Naked Gun,The Naked Gun
poster_images/poster_images/Fountain_of_Youth.jpg,0.0,0–1,Fountain of Youth,
poster_images/poster_images/Beautiful_Sex_Expert_Investigator.jpg,0.0,0–1,Beautiful Sex Expert Investigator,Beautiful Sex Expert Investigator
poster_images/poster_images/Sitaare_Zameen_Par.jpg,0.0,0–1,Sitaare Zameen Par,Sitaare Zameen Par
poster_images/poster_images/Uthama_Puthiran.jpg,0.0,0–1,Uthama Puthiran,Uthama Puthiran
poster_images/poster_images/Neo_Chinpira_2_Zoom_Goes_the_Bullet.jpg,0.0,0–1,Neo Chinpira 2 Zoom Goes the Bullet,Neo Chinpira 2 Zoom Goes the Bullet
poster_images/poster_images/The_Girl_Who_Wouldnt_Work.jpg,0.0,0–1,The Girl Who Wouldnt Work,The Girl Who Wouldnt Work
poster_images/poster_images/Americana.jpg,0.0,0–1,Americana,
