name,popularity
Kaitlyn Santa Juana,34.6079
Jason Statham,30.1718
Sydney Sweeney,26.8921
Keanu Reeves,26.3605
Pedro Pascal,25.7531
Gary Oldman,24.911
India Fowler,24.5345
Jason Momoa,24.1184
Tom Cruise,23.5796
Scarlett Johansson,23.3392
Johnny Depp,23.158
Jenna Ortega,22.5838
Teo Briones,21.0102
Kevin Costner,20.7587
Alexandra Daddario,19.8031
Ana de Armas,19.6822
Florence Pugh,19.4416
Tom Hardy,19.0795
Sandra Bullock,18.9959
Trevor F. Salter,18.8401
Emma Watson,18.771
Kimberly Alexander,18.7424
Jennifer Aniston,18.0837
Isabela Merced,17.2897
Felicity Jones,16.9736
Alberto Olmo,16.7127
Kaley Cuoco,16.5568
Gerard Butler,15.8248
Megan Fox,15.4112
Jackie Chan,15.2205
Monica Bellucci,15.1988
Julie Ann Emery,15.1712
Brad Pitt,15.1539
John Goodman,15.1028
Elle Fanning,15.0818
Mark Harmon,15.0655
Emma Myers,15.0494
Hayley Atwell,14.877
Vin Diesel,14.8686
Robert Downey Jr.,14.5763
Chris Hemsworth,14.4906
Tom Hanks,14.4263
Leonardo DiCaprio,14.4261
Zoe Saldaña,14.3969
Nicolas Cage,14.2778
Ryan Reynolds,14.2132
Anne Hathaway,14.113
Timothée Chalamet,14.0981
Jackie Sandler,13.9524
Bo Derek,13.8247
Rebecca Ferguson,13.8004
Hande Erçel,13.7895
Theo James,13.7597
Angelina Jolie,13.6713
Bella Ramsey,13.4587
Natalie Portman,13.428
Sylvester Stallone,13.4031
Eiza González,13.3339
Margot Robbie,13.0409
Tom Holland,13.0201
Ariana Greenblatt,12.9602
Andrew Garfield,12.9538
Robert Pattinson,12.8856
Christopher Nolan,12.7088
Mckenna Grace,12.6378
Austin Butler,12.6237
Jean-Claude Van Damme,12.5894
Elizabeth Olsen,12.5543
Liu Yuning,12.4847
Samuel L. Jackson,12.4743
Sydney Agudong,12.4072
Jennifer Connelly,12.342
Jeff Goldblum,12.3185
Cillian Murphy,12.1683
Morgan Freeman,12.1442
Milly Alcock,12.1091
Hailee Steinfeld,12.1048
Jacob Elordi,12.0607
Robert De Niro,12.0488
Amanda Seyfried,12.0038
Eve Edwards,11.9849
Dakota Johnson,11.7855
Liam Neeson,11.7456
Joe Anders,11.7433
Emilia Clarke,11.6038
Jake Gyllenhaal,11.5954
Miku Martineau,11.5707
Gabriel Guevara,11.5463
Jennifer Lawrence,11.5173
Zendaya,11.4842
Mila Kunis,11.4774
Kevin Bacon,11.4665
Kristen Stewart,11.3696
Anya Taylor-Joy,11.3437
Eddie Redmayne,11.327
Julianne Moore,11.2888
Sabrina Carpenter,11.232
Jon Bernthal,11.1717
Chris Evans,11.0654
Ali Larter,10.9536
